"unigram","bigram","freq"
"of","the",2011
"in","the",1878
"to","the",918
"on","the",913
"for","the",807
"to","be",759
"at","the",629
"and","the",581
"in","a",562
"with","the",523
"is","a",482
"from","the",413
"it","was",410
"and","i",394
"for","a",393
"i","was",393
"of","a",390
"with","a",374
"i","have",352
"that","the",342
"it","is",325
"by","the",324
"will","be",320
"going","to",312
"as","a",307
"one","of",302
"i","am",300
"to","get",300
"is","the",299
"have","a",294
"want","to",284
"and","a",279
"if","you",278
"was","a",267
"have","to",263
"on","a",262
"the","first",256
"that","i",255
"to","make",255
"out","of",250
"to","do",248
"all","the",244
"i","dont",238
"this","is",237
"he","was",234
"to","a",230
"a","lot",226
"has","been",226
"i","had",226
"the","same",226
"more","than",213
"would","be",211
"about","the",209
"have","been",204
"he","said",204
"i","think",203
"a","few",196
"to","see",196
"you","can",194
"as","the",193
"be","a",192
"to","have",191
"but","i",189
"of","my",182
"there","is",182
"that","is",176
"had","a",173
"into","the",170
"in","my",169
"you","have",169
"need","to",166
"a","little",165
"but","the",165
"when","i",162
"they","are",161
"a","good",158
"to","go",158
"over","the",157
"i","would",156
"lot","of",155
"part","of",154
"the","best",154
"you","are",152
"the","most",151
"the","world",151
"we","have",150
"and","then",146
"so","i",146
"the","new",146
"i","can",145
"we","are",143
"a","great",142
"a","new",142
"the","other",142
"some","of",140
"the","way",140
"there","are",140
"the","time",137
"at","a",136
"can","be",136
"is","not",134
"at","least",131
"and","it",130
"as","well",130
"said","the",130
"all","of",128
"like","a",128
"i","know",127
"able","to",126
"of","his",126
"is","that",125
"had","to",124
"was","the",124
"has","a",122
"i","love",122
"the","next",121
"its","a",119
"back","to",118
"if","i",118
"by","a",117
"in","his",117
"that","he",117
"the","last",117
"trying","to",117
"so","much",114
"to","take",114
"a","bit",113
"on","my",113
"he","is",112
"i","cant",112
"when","you",112
"after","the",111
"they","were",110
"she","was",109
"that","was",109
"because","of",108
"do","you",108
"in","this",108
"the","only",108
"when","the",108
"for","me",107
"i","want",107
"i","will",107
"what","i",106
"but","it",104
"out","the",104
"thanks","for",104
"me","to",103
"of","this",102
"the","end",102
"you","know",102
"new","york",101
"up","to",101
"said","he",100
"there","was",100
"from","a",99
"to","me",99
"according","to",98
"go","to",98
"of","our",98
"to","find",98
"and","that",97
"im","not",97
"of","course",97
"to","say",97
"wanted","to",97
"thank","you",96
"as","i",95
"i","just",95
"it","and",95
"kind","of",95
"that","we",95
"this","year",95
"i","could",93
"of","their",92
"to","keep",92
"be","the",91
"like","to",91
"not","to",91
"that","you",91
"the","us",91
"which","is",91
"during","the",90
"not","a",90
"the","city",90
"are","you",89
"end","of",89
"i","do",89
"the","day",89
"is","to",88
"such","as",88
"those","who",88
"through","the",88
"and","we",87
"i","thought",87
"its","not",87
"that","it",87
"time","to",87
"would","have",87
"have","the",86
"i","didnt",86
"had","been",85
"may","be",85
"that","they",85
"around","the",84
"get","a",84
"in","an",84
"of","it",84
"way","to",84
"a","big",83
"and","his",83
"dont","know",83
"if","the",83
"most","of",83
"and","he",82
"he","has",82
"it","to",82
"to","help",82
"she","said",81
"they","have",81
"a","very",80
"and","they",80
"he","had",80
"should","be",80
"when","he",80
"are","the",79
"could","be",79
"last","year",79
"right","now",79
"up","and",79
"up","the",79
"it","has",78
"it","would",78
"make","a",78
"the","state",78
"to","my",78
"like","the",77
"me","and",77
"to","work",77
"you","want",77
"and","to",76
"did","not",76
"with","my",76
"in","your",75
"it","will",75
"you","dont",75
"you","will",75
"i","did",74
"i","need",74
"look","at",74
"of","them",74
"and","its",73
"make","it",73
"of","your",73
"the","past",72
"the","top",72
"a","couple",71
"because","i",71
"i","got",71
"i","hope",71
"such","a",71
"try","to",71
"we","can",71
"how","to",70
"of","all",70
"people","who",70
"the","two",70
"in","their",69
"into","a",69
"is","no",69
"you","to",69
"down","the",68
"just","a",68
"the","one",68
"the","right",68
"the","second",68
"well","as",68
"as","we",67
"for","you",67
"i","feel",67
"of","her",67
"the","house",67
"to","give",67
"was","not",67
"who","is",67
"across","the",66
"and","in",66
"and","other",66
"and","you",66
"for","my",66
"is","in",66
"no","one",66
"of","us",66
"up","with",66
"we","had",66
"and","my",65
"are","a",65
"before","the",65
"do","not",65
"get","the",65
"know","that",65
"than","the",65
"to","come",65
"was","in",65
"what","is",65
"where","the",65
"are","not",64
"i","really",64
"in","and",64
"out","to",64
"this","week",64
"to","put",64
"wants","to",64
"at","all",63
"be","in",63
"their","own",63
"we","will",63
"a","long",62
"a","year",62
"but","he",62
"first","time",62
"if","they",62
"it","in",62
"she","is",62
"about","it",61
"is","an",61
"is","it",61
"of","you",61
"off","the",61
"the","game",61
"to","know",61
"up","on",61
"a","small",60
"be","able",60
"for","an",60
"get","to",60
"lots","of",60
"on","this",60
"the","book",60
"to","this",60
"we","were",60
"what","you",60
"as","they",59
"dont","have",59
"enough","to",59
"for","his",59
"in","which",59
"on","your",59
"that","would",59
"the","fact",59
"the","story",59
"used","to",59
"with","his",59
"couple","of",58
"i","like",58
"if","we",58
"instead","of",58
"it","all",58
"last","week",58
"me","i",58
"of","an",58
"than","a",58
"and","was",57
"as","he",57
"how","much",57
"the","year",57
"as","much",56
"based","on",56
"been","a",56
"is","going",56
"my","life",56
"of","its",56
"of","that",56
"of","those",56
"the","whole",56
"away","from",55
"bit","of",55
"do","it",55
"for","this",55
"in","that",55
"let","me",55
"looking","for",55
"to","use",55
"up","in",55
"when","we",55
"with","an",55
"years","ago",55
"you","get",55
"and","all",54
"number","of",54
"of","these",54
"to","all",54
"to","an",54
"to","you",54
"went","to",54
"who","was",54
"along","with",53
"cant","wait",53
"have","no",53
"in","new",53
"not","only",53
"of","people",53
"or","the",53
"them","to",53
"this","time",53
"time","i",53
"who","are",53
"and","is",52
"and","more",52
"back","in",52
"many","of",52
"said","i",52
"said","that",52
"that","are",52
"the","s",52
"to","look",52
"when","they",52
"against","the",51
"as","it",51
"but","we",51
"decided","to",51
"does","not",51
"feel","like",51
"i","saw",51
"in","our",51
"or","a",51
"out","and",51
"take","a",51
"that","she",51
"that","will",51
"the","company",51
"the","season",51
"to","play",51
"you","think",51
"i","guess",50
"not","be",50
"not","the",50
"on","her",50
"on","his",50
"so","that",50
"the","people",50
"to","his",50
"to","start",50
"tried","to",50
"were","not",50
"with","her",50
"all","that",49
"and","her",49
"at","pm",49
"but","its",49
"do","i",49
"in","order",49
"know","what",49
"might","be",49
"that","a",49
"there","were",49
"up","for",49
"when","it",49
"with","you",49
"a","week",48
"about","a",48
"fact","that",48
"i","get",48
"if","it",48
"is","one",48
"st","louis",48
"was","so",48
"but","they",47
"due","to",47
"had","the",47
"i","wanted",47
"the","kids",47
"to","hear",47
"to","pay",47
