"unigram","bigram","trigram","quadgram","freq"
"the","end","of","the",39
"at","the","end","of",36
"for","the","first","time",35
"the","rest","of","the",28
"is","going","to","be",22
"at","the","same","time",20
"one","of","the","most",19
"to","be","able","to",18
"when","it","comes","to",18
"in","the","united","states",17
"is","one","of","the",17
"i","dont","want","to",16
"if","you","want","to",16
"on","the","other","hand",16
"thanks","for","the","follow",16
"a","bit","of","a",15
"i","would","like","to",15
"one","of","the","best",14
"going","to","be","a",12
"i","want","you","to",12
"is","no","god","but",12
"no","god","but","allah",12
"there","is","no","god",12
"a","lot","of","things",11
"as","one","of","the",11
"as","part","of","the",11
"for","a","long","time",11
"had","a","lot","of",11
"i","am","going","to",11
"i","cant","wait","to",11
"in","the","face","of",11
"in","the","middle","of",11
"at","the","university","of",10
"have","a","lot","of",10
"i","bear","witness","that",10
"i","want","to","be",10
"its","going","to","be",10
"the","first","time","in",10
"a","few","years","ago",9
"a","lot","of","people",9
"a","member","of","the",9
"as","well","as","the",9
"going","to","have","to",9
"i","dont","know","how",9
"i","dont","know","if",9
"i","have","to","say",9
"i","was","going","to",9
"i","would","love","to",9
"in","the","first","quarter",9
"thank","you","for","the",9
"to","go","to","the",9
"you","want","to","be",9
"a","great","place","to",8
"as","a","result","of",8
"cant","wait","to","see",8
"for","the","rest","of",8
"in","front","of","the",8
"it","would","be","a",8
"let","me","know","if",8
"please","please","please","please",8
"that","there","is","no",8
"the","best","way","to",8
"the","bottom","of","the",8
"the","top","of","the",8
"a","lot","of","time",7
"all","the","way","to",7
"and","a","lot","of",7
"and","i","have","to",7
"are","a","lot","of",7
"as","part","of","a",7
"at","the","top","of",7
"by","the","end","of",7
"for","the","most","part",7
"for","those","of","you",7
"had","the","opportunity","to",7
"here","are","a","few",7
"hundreds","of","thousands","of",7
"i","have","no","idea",7
"i","look","forward","to",7
"i","need","to","get",7
"im","done","with","the",7
"in","the","block","of",7
"in","the","late","s",7
"in","the","s","and",7
"in","the","second","half",7
"little","more","than","a",7
"something","to","do","with",7
"take","a","look","at",7
"thank","you","for","your",7
"the","end","of","this",7
"the","first","time","i",7
"there","are","a","lot",7
"this","is","the","first",7
"this","time","of","year",7
"to","come","up","with",7
"to","do","with","the",7
"to","get","back","to",7
"to","make","a","living",7
"to","take","care","of",7
"what","do","you","think",7
"will","be","able","to",7
"a","couple","of","days",6
"a","couple","of","times",6
"a","couple","of","weeks",6
"a","look","at","the",6
"a","lot","of","fun",6
"about","percent","of","the",6
"as","soon","as","i",6
"be","a","part","of",6
"bear","witness","that","there",6
"cant","wait","to","get",6
"contributed","to","this","report",6
"did","you","know","that",6
"do","you","want","to",6
"end","of","the","day",6
"figure","out","how","to",6
"find","a","way","to",6
"from","am","to","pm",6
"he","didnt","want","to",6
"i","believe","that","god",6
"i","dont","have","to",6
"i","dont","know","what",6
"i","had","a","lot",6
"i","really","want","to",6
"if","you","dont","have",6
"if","you","dont","know",6
"if","you","have","a",6
"if","you","would","like",6
"im","going","to","be",6
"in","the","first","round",6
"in","the","fourth","quarter",6
"not","be","able","to",6
"over","the","course","of",6
"thanks","for","the","rt",6
"thanks","so","much","for",6
"that","i","need","to",6
"the","majority","of","the",6
"the","name","of","the",6
"those","of","you","who",6
"to","be","a","part",6
"to","be","part","of",6
"to","check","out","the",6
"turned","out","to","be",6
"were","not","going","to",6
"will","be","held","at",6
"witness","that","there","is",6
"would","love","to","see",6
"a","great","deal","of",5
"a","little","bit","of",5
"a","little","more","than",5
"a","long","time","ago",5
"a","lot","of","the",5
"a","time","when","the",5
"all","over","the","world",5
"and","i","have","been",5
"and","the","fact","that",5
"and","then","theres","the",5
"and","we","need","to",5
"are","going","to","be",5
"are","some","of","the",5
"are","supposed","to","be",5
"at","the","other","end",5
"at","the","time","of",5
"back","back","back","back",5
"be","interesting","to","see",5
"be","one","of","the",5
"been","a","long","time",5
"but","it","is","a",5
"but","the","obama","regime",5
"by","the","fact","that",5
"do","you","have","a",5
"dont","know","if","we",5
"for","a","couple","of",5
"for","more","than","a",5
"for","the","next","few",5
"full","text","campaign","buzz",5
"going","to","be","in",5
"has","to","do","with",5
"have","a","great","day",5
"have","no","idea","what",5
"he","was","going","to",5
"hope","you","have","a",5
"i","didnt","want","to",5
"i","dont","know","about",5
"i","have","never","been",5
"i","thought","it","was",5
"i","thought","it","would",5
"i","want","to","go",5
"i","was","able","to",5
"i","wish","i","could",5
"im","not","trying","to",5
"in","a","large","bowl",5
"in","a","position","to",5
"in","a","small","bowl",5
"in","addition","to","the",5
"in","an","effort","to",5
"in","new","york","city",5
"in","such","a","way",5
"in","the","first","place",5
"in","the","form","of",5
"in","the","second","round",5
"nothing","more","than","a",5
"on","the","back","of",5
"on","the","other","side",5
"preheat","the","oven","to",5
"side","of","the","family",5
"some","of","the","most",5
"text","campaign","buzz","march",5
"th","anniversary","of","the",5
"that","i","have","a",5
"that","is","going","to",5
"the","back","of","the",5
"the","fact","that","the",5
"the","middle","of","a",5
"the","start","of","the",5
"this","is","going","to",5
"this","is","one","of",5
"those","of","us","who",5
"thought","it","would","be",5
"to","be","in","the",5
"to","life","in","prison",5
"to","make","sure","that",5
"to","put","on","the",5
"to","share","with","you",5
"we","just","have","to",5
"we","live","in","a",5
"what","are","you","doing",5
"when","i","was","a",5
"would","have","to","be",5
"x","x","x","x",5
"you","dont","want","to",5
"you","have","to","be",5
"a","big","fan","of",4
"a","big","part","of",4
"a","few","days","ago",4
"a","high","of","degrees",4
"a","long","time","and",4
"a","long","time","to",4
"a","picture","of","the",4
"a","very","long","time",4
"a","visit","to","the",4
"a","way","to","get",4
"all","that","are","falling",4
"all","the","way","from",4
"allah","and","i","bear",4
"and","be","sure","to",4
"and","i","bear","witness",4
"and","i","got","to",4
"and","i","had","a",4
"and","i","had","to",4
"and","i","went","to",4
"and","i","would","love",4
"and","out","of","the",4
"and","the","rest","of",4
"and","to","all","those",4
"are","you","going","to",4
"as","far","as","i",4
"as","long","as","i",4
"as","many","people","as",4
"as","much","as","possible",4
"as","much","as","the",4
"as","much","as","we",4
"as","soon","as","possible",4
"as","well","as","a",4
"at","the","hands","of",4
"at","the","start","of",4
"at","this","time","of",4
"be","able","to","get",4
"be","sure","to","check",4
"bear","witness","that","muhammad",4
"because","it","was","a",4
"become","one","of","the",4
"been","a","while","since",4
"being","one","of","the",4
"but","allah","and","i",4
"but","at","the","same",4
"but","that","doesnt","mean",4
"by","some","of","the",4
"by","the","time","i",4
"couple","of","weeks","ago",4
"did","a","great","job",4
"dont","want","to","do",4
"dow","jones","industrial","average",4
"end","of","the","world",4
"end","of","the","year",4
"for","some","reason","i",4
"for","the","last","three",4
"for","those","who","are",4
"from","all","over","the",4
"from","the","university","of",4
"g","fat","g","saturated",4
"go","back","to","the",4
"god","but","allah","and",4
"going","to","try","to",4
"had","a","great","time",4
"happy","mothers","day","to",4
"has","a","lot","of",4
"has","always","been","a",4
"have","a","great","time",4
"have","a","hard","time",4
"have","to","say","i",4
"hope","to","see","you",4
"i","am","not","a",4
"i","cant","wait","for",4
"i","didnt","have","a",4
"i","dont","have","a",4
"i","dont","think","so",4
"i","dont","think","we",4
"i","feel","like","im",4
"i","had","a","dream",4
"i","have","a","lot",4
"i","have","to","admit",4
"i","just","need","to",4
"i","just","want","to",4
"i","just","wanted","to",4
"i","think","it","is",4
"i","think","its","a",4
"i","thought","i","was",4
"i","thought","i","would",4
"i","want","to","do",4
"i","went","to","the",4
"if","you","are","not",4
"if","youre","going","to",4
"im","not","going","to",4
"in","a","few","weeks",4
"in","a","long","time",4
"in","a","series","of",4
"in","a","way","that",4
"in","the","back","of",4
"in","the","basement","of",4
"in","the","end","i",4
"in","the","hands","of",4
"in","the","heart","of",4
"in","the","lives","of",4
"in","the","long","run",4
"in","the","st","century",4
"in","the","th","century",4
"in","the","world","that",4
"in","time","for","the",4
"interesting","to","see","how",4
"is","a","great","place",4
"is","likely","to","be",4
"is","part","of","the",4
"is","the","first","time",4
"it","has","to","be",4
"it","is","time","to",4
"it","was","a","bit",4
"it","was","a","great",4
"it","was","great","to",4
"it","was","time","for",4
"it","we","could","have",4
"its","been","a","while",4
"its","one","of","the",4
"just","in","time","for",4
"just","let","me","know",4
"know","that","it","is",4
"may","or","may","not",4
"more","likely","to","be",4
"more","than","a","decade",4
"more","than","a","week",4
"more","than","million","in",4
"more","to","do","with",4
"muhammad","is","his","messenger",4
"needs","to","be","a",4
"nice","to","meet","you",4
"no","choice","but","to",4
"no","one","wants","to",4
"not","just","because","of",4
"not","to","mention","the",4
"nothing","to","do","with",4
"of","a","heart","attack",4
"of","the","united","states",4
"of","thousands","of","dollars",4
"on","my","way","to",4
"on","the","new","york",4
"on","top","of","the",4
"on","what","to","do",4
"one","of","the","few",4
"open","to","the","public",4
"or","cents","per","share",4
"out","of","the","house",4
"over","and","over","again",4
"over","the","next","two",4
"part","of","the","process",4
"remember","the","last","time",4
"said","in","a","statement",4
"south","carolina","gamecocks","history",4
"spent","a","lot","of",4
"thank","you","so","much",4
"thanks","for","a","great",4
"thanks","for","the","ff",4
"that","i","had","to",4
