"unigram","bigram","trigram","freq"
"one","of","the",164
"a","lot","of",150
"to","be","a",80
"some","of","the",75
"going","to","be",73
"it","was","a",73
"part","of","the",71
"out","of","the",70
"the","end","of",70
"as","well","as",67
"i","want","to",64
"be","able","to",60
"the","first","time",56
"i","dont","know",52
"you","have","to",52
"thanks","for","the",51
"end","of","the",50
"a","couple","of",49
"this","is","a",47
"the","fact","that",45
"there","is","no",45
"i","had","a",44
"at","the","end",43
"i","have","to",43
"there","is","a",42
"to","have","a",42
"is","going","to",41
"for","the","first",40
"i","have","a",40
"a","bit","of",39
"the","rest","of",39
"you","want","to",39
"i","had","to",38
"in","the","first",38
"it","is","a",38
"it","would","be",38
"most","of","the",38
"to","make","a",38
"in","order","to",37
"according","to","the",36
"i","need","to",36
"in","the","world",36
"the","united","states",36
"you","have","a",36
"i","dont","think",35
"in","front","of",34
"to","be","the",34
"im","going","to",33
"more","than","a",33
"thank","you","for",33
"because","of","the",32
"to","go","to",32
"to","make","it",32
"as","much","as",31
"at","the","time",31
"dont","want","to",31
"have","to","be",31
"i","wanted","to",31
"is","one","of",31
"of","the","day",31
"want","to","be",31
"a","long","time",30
"back","to","the",30
"if","you","are",30
"this","is","the",30
"and","i","have",29
"of","the","most",29
"of","the","year",29
"one","of","my",29
"i","have","been",28
"in","new","york",28
"in","the","s",28
"it","will","be",28
"rest","of","the",28
"that","i","have",28
"to","do","with",28
"all","of","the",27
"as","part","of",27
"i","am","a",27
"i","am","not",27
"to","get","a",27
"were","going","to",27
"when","i","was",27
"and","i","was",26
"as","long","as",26
"at","the","same",26
"cant","wait","to",26
"if","you","want",26
"in","the","morning",26
"in","the","same",26
"it","in","the",26
"not","going","to",26
"would","like","to",26
"looking","forward","to",25
"a","series","of",24
"all","the","way",24
"by","the","time",24
"to","make","sure",24
"was","going","to",24
"we","have","a",24
"and","it","was",23
"i","feel","like",23
"i","think","i",23
"if","you","dont",23
"in","the","past",23
"on","the","other",23
"the","same","time",23
"we","need","to",23
"have","a","great",22
"i","think","its",22
"it","can","be",22
"needs","to","be",22
"side","of","the",22
"we","have","to",22
"all","the","time",21
"go","to","the",21
"is","not","a",21
"need","to","be",21
"that","i","had",21
"the","number","of",21
"when","it","comes",21
"would","be","a",21
"a","few","years",20
"are","going","to",20
"for","the","follow",20
"going","to","get",20
"i","dont","have",20
"in","addition","to",20
"in","the","face",20
"is","that","the",20
"it","is","the",20
"of","the","best",20
"that","would","be",20
"the","top","of",20
"the","university","of",20
"there","was","a",20
"to","get","the",20
"up","on","the",20
"and","i","am",19
"and","of","course",19
"as","soon","as",19
"but","it","was",19
"it","comes","to",19
"its","going","to",19
"of","the","new",19
"the","next","day",19
"to","be","in",19
"to","do","it",19
"to","find","out",19
"to","see","you",19
"to","take","a",19
"a","chance","to",18
"a","group","of",18
"at","a","time",18
"but","it","is",18
"he","was","a",18
"i","have","no",18
"i","will","be",18
"if","you","have",18
"in","other","words",18
"in","the","united",18
"is","the","best",18
"it","was","the",18
"let","me","know",18
"the","middle","of",18
"to","be","able",18
"to","deal","with",18
"to","see","the",18
"you","need","to",18
"a","member","of",17
"and","all","the",17
"away","from","the",17
"based","on","the",17
"cant","wait","for",17
"for","me","to",17
"i","dont","want",17
"i","like","to",17
"i","think","it",17
"i","thought","i",17
"i","would","have",17
"i","would","like",17
"if","you","can",17
"in","my","life",17
"in","terms","of",17
"in","the","second",17
"is","a","great",17
"it","has","been",17
"it","to","the",17
"look","at","the",17
"many","of","the",17
"members","of","the",17
"much","of","the",17
"percent","of","the",17
"said","he","was",17
"the","new","york",17
"the","opportunity","to",17
"the","way","to",17
"there","was","no",17
"there","will","be",17
"we","want","to",17
"a","few","days",16
"a","part","of",16
"be","in","the",16
"bit","of","a",16
"check","out","the",16
"didnt","want","to",16
"do","you","have",16
"do","you","think",16
"has","been","a",16
"have","no","idea",16
"he","said","the",16
"i","cant","wait",16
"i","hope","you",16
"i","know","that",16
"i","thought","it",16
"i","was","a",16
"in","the","city",16
"in","the","middle",16
"it","is","not",16
"need","to","get",16
"new","york","city",16
"of","the","other",16
"of","the","season",16
"on","the","road",16
"on","top","of",16
"supposed","to","be",16
"the","face","of",16
"the","other","hand",16
"to","check","out",16
"to","do","so",16
"to","get","to",16
"to","see","what",16
"want","you","to",16
"we","will","be",16
"would","love","to",16
"you","dont","know",16
"a","list","of",15
"a","little","more",15
